$AliceBlue: #F0F8FF;
$AntiqueWhite: #FAEBD7;
$AntiqueWhite1: #FFEFDB;
$AntiqueWhite2: #EEDFCC;
$AntiqueWhite3: #CDC0B0;
$AntiqueWhite4: #8B8378;
$Aqua: #00FFFF;
$Aquamarine: #7FFFD4;
$Aquamarine1: #7FFFD4;
$Aquamarine2: #76EEC6;
$Aquamarine3: #66CDAA;
$Aquamarine4: #458B74;
$Azure: #F0FFFF;
$Azure1: #F0FFFF;
$Azure2: #E0EEEE;
$Azure3: #C1CDCD;
$Azure4: #838B8B;
$Beige: #F5F5DC;
$Bisque: #FFE4C4;
$Bisque1: #FFE4C4;
$Bisque2: #EED5B7;
$Bisque3: #CDB79E;
$Bisque4: #8B7D6B;
$Black: #000000;
$BlanchedAlmond: #FFEBCD;
$Blue: #0000FF;
$Blue1: #0000FF;
$Blue2: #0000EE;
$Blue3: #0000CD;
$Blue4: #00008B;
$BlueViolet: #8A2BE2;
$Brown: #A52A2A;
$Brown1: #FF4040;
$Brown2: #EE3B3B;
$Brown3: #CD3333;
$Brown4: #8B2323;
$BurlyWood: #DEB887;
$Burlywood1: #FFD39B;
$Burlywood2: #EEC591;
$Burlywood3: #CDAA7D;
$Burlywood4: #8B7355;
$CadetBlue: #5F9EA0;
$CadetBlue1: #98F5FF;
$CadetBlue2: #8EE5EE;
$CadetBlue3: #7AC5CD;
$CadetBlue4: #53868B;
$Chartreuse: #7FFF00;
$Chartreuse1: #7FFF00;
$Chartreuse2: #76EE00;
$Chartreuse3: #66CD00;
$Chartreuse4: #458B00;
$Chocolate: #D2691E;
$Chocolate1: #FF7F24;
$Chocolate2: #EE7621;
$Chocolate3: #CD661D;
$Chocolate4: #8B4513;
$Coral: #FF7F50;
$Coral1: #FF7256;
$Coral2: #EE6A50;
$Coral3: #CD5B45;
$Coral4: #8B3E2F;
$CornflowerBlue: #6495ED;
$Cornsilk: #FFF8DC;
$Cornsilk1: #FFF8DC;
$Cornsilk2: #EEE8CD;
$Cornsilk3: #CDC8B1;
$Cornsilk4: #8B8878;
$Crimson: #DC143C;
$Cyan: #00FFFF;
$Cyan1: #00FFFF;
$Cyan2: #00EEEE;
$Cyan3: #00CDCD;
$Cyan4: #008B8B;
$DarkBlue: #00008B;
$DarkCyan: #008B8B;
$DarkGoldenrod: #B8860B;
$DarkGoldenrod1: #FFB90F;
$DarkGoldenrod2: #EEAD0E;
$DarkGoldenrod3: #CD950C;
$DarkGoldenrod4: #8B6508;
$DarkGray: #A9A9A9;
$DarkGreen: #006400;
$DarkGrey: #A9A9A9;
$DarkKhaki: #BDB76B;
$DarkMagenta: #8B008B;
$DarkOliveGreen: #556B2F;
$DarkOliveGreen1: #CAFF70;
$DarkOliveGreen2: #BCEE68;
$DarkOliveGreen3: #A2CD5A;
$DarkOliveGreen4: #6E8B3D;
$DarkOrange: #FF8C00;
$DarkOrange1: #FF7F00;
$DarkOrange2: #EE7600;
$DarkOrange3: #CD6600;
$DarkOrange4: #8B4500;
$DarkOrchid: #9932CC;
$DarkOrchid1: #BF3EFF;
$DarkOrchid2: #B23AEE;
$DarkOrchid3: #9A32CD;
$DarkOrchid4: #68228B;
$DarkRed: #8B0000;
$DarkSalmon: #E9967A;
$DarkSeaGreen: #8FBC8F;
$DarkSeaGreen1: #C1FFC1;
$DarkSeaGreen2: #B4EEB4;
$DarkSeaGreen3: #9BCD9B;
$DarkSeaGreen4: #698B69;
$DarkSlateBlue: #483D8B;
$DarkSlateGray: #2F4F4F;
$DarkSlateGray1: #97FFFF;
$DarkSlateGray2: #8DEEEE;
$DarkSlateGray3: #79CDCD;
$DarkSlateGray4: #528B8B;
$DarkSlateGrey: #2F4F4F;
$DarkTurquoise: #00CED1;
$DarkViolet: #9400D3;
$DeepPink: #FF1493;
$DeepPink1: #FF1493;
$DeepPink2: #EE1289;
$DeepPink3: #CD1076;
$DeepPink4: #8B0A50;
$DeepSkyBlue: #00BFFF;
$DeepSkyBlue1: #00BFFF;
$DeepSkyBlue2: #00B2EE;
$DeepSkyBlue3: #009ACD;
$DeepSkyBlue4: #00688B;
$DimGray: #696969;
$DimGrey: #696969;
$DodgerBlue: #1E90FF;
$DodgerBlue1: #1E90FF;
$DodgerBlue2: #1C86EE;
$DodgerBlue3: #1874CD;
$DodgerBlue4: #104E8B;
$FireBrick: #B22222;
$Firebrick1: #FF3030;
$Firebrick2: #EE2C2C;
$Firebrick3: #CD2626;
$Firebrick4: #8B1A1A;
$FloralWhite: #FFFAF0;
$ForestGreen: #228B22;
$Fuchsia: #FF00FF;
$Gainsboro: #DCDCDC;
$GhostWhite: #F8F8FF;
$Gold: #FFD700;
$Gold1: #FFD700;
$Gold2: #EEC900;
$Gold3: #CDAD00;
$Gold4: #8B7500;
$Goldenrod: #DAA520;
$Goldenrod1: #FFC125;
$Goldenrod2: #EEB422;
$Goldenrod3: #CD9B1D;
$Goldenrod4: #8B6914;
$Gray: #808080;
$Gray0: #BEBEBE;
$Green: #008000;
$Green0: #00FF00;
$Green1: #00FF00;
$Green2: #00EE00;
$Green3: #00CD00;
$Green4: #008B00;
$GreenYellow: #ADFF2F;
$Grey: #808080;
$Grey0: #BEBEBE;
$Honeydew: #F0FFF0;
$Honeydew1: #F0FFF0;
$Honeydew2: #E0EEE0;
$Honeydew3: #C1CDC1;
$Honeydew4: #838B83;
$HotPink: #FF69B4;
$HotPink1: #FF6EB4;
$HotPink2: #EE6AA7;
$HotPink3: #CD6090;
$HotPink4: #8B3A62;
$IndianRed: #CD5C5C;
$IndianRed1: #FF6A6A;
$IndianRed2: #EE6363;
$IndianRed3: #CD5555;
$IndianRed4: #8B3A3A;
$Indigo: #4B0082;
$Ivory: #FFFFF0;
$Ivory1: #FFFFF0;
$Ivory2: #EEEEE0;
$Ivory3: #CDCDC1;
$Ivory4: #8B8B83;
$Khaki: #F0E68C;
$Khaki1: #FFF68F;
$Khaki2: #EEE685;
$Khaki3: #CDC673;
$Khaki4: #8B864E;
$Lavender: #E6E6FA;
$LavenderBlush: #FFF0F5;
$LavenderBlush1: #FFF0F5;
$LavenderBlush2: #EEE0E5;
$LavenderBlush3: #CDC1C5;
$LavenderBlush4: #8B8386;
$LawnGreen: #7CFC00;
$LemonChiffon: #FFFACD;
$LemonChiffon1: #FFFACD;
$LemonChiffon2: #EEE9BF;
$LemonChiffon3: #CDC9A5;
$LemonChiffon4: #8B8970;
$LightBlue: #ADD8E6;
$LightBlue1: #BFEFFF;
$LightBlue2: #B2DFEE;
$LightBlue3: #9AC0CD;
$LightBlue4: #68838B;
$LightCoral: #F08080;
$LightCyan: #E0FFFF;
$LightCyan1: #E0FFFF;
$LightCyan2: #D1EEEE;
$LightCyan3: #B4CDCD;
$LightCyan4: #7A8B8B;
$LightGoldenrod: #EEDD82;
$LightGoldenrod1: #FFEC8B;
$LightGoldenrod2: #EEDC82;
$LightGoldenrod3: #CDBE70;
$LightGoldenrod4: #8B814C;
$LightGoldenrodYellow: #FAFAD2;
$LightGray: #D3D3D3;
$LightGreen: #90EE90;
$LightGrey: #D3D3D3;
$LightPink: #FFB6C1;
$LightPink1: #FFAEB9;
$LightPink2: #EEA2AD;
$LightPink3: #CD8C95;
$LightPink4: #8B5F65;
$LightSalmon: #FFA07A;
$LightSalmon1: #FFA07A;
$LightSalmon2: #EE9572;
$LightSalmon3: #CD8162;
$LightSalmon4: #8B5742;
$LightSeaGreen: #20B2AA;
$LightSkyBlue: #87CEFA;
$LightSkyBlue1: #B0E2FF;
$LightSkyBlue2: #A4D3EE;
$LightSkyBlue3: #8DB6CD;
$LightSkyBlue4: #607B8B;
$LightSlateBlue: #8470FF;
$LightSlateGray: #778899;
$LightSlateGrey: #778899;
$LightSteelBlue: #B0C4DE;
$LightSteelBlue1: #CAE1FF;
$LightSteelBlue2: #BCD2EE;
$LightSteelBlue3: #A2B5CD;
$LightSteelBlue4: #6E7B8B;
$LightYellow: #FFFFE0;
$LightYellow1: #FFFFE0;
$LightYellow2: #EEEED1;
$LightYellow3: #CDCDB4;
$LightYellow4: #8B8B7A;
$Lime: #00FF00;
$LimeGreen: #32CD32;
$Linen: #FAF0E6;
$Magenta: #FF00FF;
$Magenta1: #FF00FF;
$Magenta2: #EE00EE;
$Magenta3: #CD00CD;
$Magenta4: #8B008B;
$Maroon: #800000;
$Maroon0: #B03060;
$Maroon1: #FF34B3;
$Maroon2: #EE30A7;
$Maroon3: #CD2990;
$Maroon4: #8B1C62;
$MediumAquamarine: #66CDAA;
$MediumBlue: #0000CD;
$MediumOrchid: #BA55D3;
$MediumOrchid1: #E066FF;
$MediumOrchid2: #D15FEE;
$MediumOrchid3: #B452CD;
$MediumOrchid4: #7A378B;
$MediumPurple: #9370DB;
